Opponent,Span,Total Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,100,50,0,4s,6s
 Afghanistan,2012-2024,6,6,2,204,121,51.0,133,153.38,1,1,2,20,11
 Australia,2007-2024,23,20,3,484,92,28.47,322,150.31,0,4,1,39,29
 Bangladesh,2009-2024,13,13,0,477,89,36.69,332,143.67,0,5,0,39,22
 England,2007-2024,16,15,2,467,100,35.92,334,139.82,1,3,0,49,18
 Hong Kong,2022-2022,1,1,0,21,21,21.0,13,161.53,0,0,0,2,1
 Ireland,2009-2024,4,4,2,201,97,100.5,145,138.62,0,3,1,16,9
 Namibia,2021-2021,1,1,0,56,56,56.0,37,151.35,0,1,0,7,2
 Netherlands,2022-2022,1,1,0,53,53,53.0,39,135.89,0,1,0,4,3
 New Zealand,2009-2021,17,17,2,511,80,34.06,362,141.16,0,6,0,37,27
 Pakistan,2007-2024,12,11,2,127,30,14.11,108,117.59,0,0,2,10,7
 Scotland,2021-2021,1,1,0,30,30,30.0,16,187.5,0,0,0,5,1
 South Africa,2007-2024,18,17,1,429,106,26.81,330,130.0,1,2,3,51,16
 Sri Lanka,2009-2022,19,17,0,411,118,24.17,285,144.21,1,1,2,37,19
 U.A.E.,2016-2016,1,1,0,39,39,39.0,28,139.28,0,0,0,7,1
 U.S.A.,2024-2024,1,1,0,3,3,3.0,6,50.0,0,0,0,0,0
 West Indies,2009-2022,22,22,4,693,111,38.5,485,142.88,1,5,1,57,39
 Zimbabwe,2010-2022,3,3,1,25,15,12.5,28,89.28,0,0,0,3,0
